Time of Node:2020-10-29 16:17:18 ,Current time:2020-10-29 16:17:18,Infared temp: 86 Node temp: 81 Source: 0 Coordinate: (0,0) Alert: True , time : 0.000000s 
Time of Node:2020-10-29 16:17:18 ,Current time:2020-10-29 16:17:18,Infared temp: 88 Node temp: 88 Source: 1 Coordinate: (0,1) Alert: True , time : 0.004479s 
Time of Node:2020-10-29 16:17:18 ,Current time:2020-10-29 16:17:18,Infared temp: 80 Node temp: 83 Source: 4 Coordinate: (1,0) Alert: False , time : 0.006009s 
Time of Node:2020-10-29 16:17:18 ,Current time:2020-10-29 16:17:18,Infared temp: 83 Node temp: 90 Source: 5 Coordinate: (1,1) Alert: True , time : 0.007535s 
Time of Node:2020-10-29 16:17:18 ,Current time:2020-10-29 16:17:18,Infared temp: 88 Node temp: 84 Source: 7 Coordinate: (1,3) Alert: True , time : 0.012132s 
Time of Node:2020-10-29 16:17:18 ,Current time:2020-10-29 16:17:18,Infared temp: 89 Node temp: 85 Source: 10 Coordinate: (2,2) Alert: True , time : 0.015943s 
Time of Node:2020-10-29 16:17:18 ,Current time:2020-10-29 16:17:18,Infared temp: 73 Node temp: 86 Source: 14 Coordinate: (3,2) Alert: False , time : 0.017750s 
Time of Node:2020-10-29 16:17:18 ,Current time:2020-10-29 16:17:18,Infared temp: 90 Node temp: 81 Source: 0 Coordinate: (0,0) Alert: True , time : 0.020382s 
Time of Node:2020-10-29 16:17:18 ,Current time:2020-10-29 16:17:18,Infared temp: 72 Node temp: 87 Source: 1 Coordinate: (0,1) Alert: False , time : 0.024601s 
Time of Node:2020-10-29 16:17:18 ,Current time:2020-10-29 16:17:18,Infared temp: 72 Node temp: 83 Source: 3 Coordinate: (0,3) Alert: False , time : 0.032057s 
Time of Node:2020-10-29 16:17:18 ,Current time:2020-10-29 16:17:18,Infared temp: 84 Node temp: 85 Source: 6 Coordinate: (1,2) Alert: True , time : 0.032257s 
Time of Node:2020-10-29 16:17:18 ,Current time:2020-10-29 16:17:18,Infared temp: 77 Node temp: 89 Source: 8 Coordinate: (2,0) Alert: False , time : 0.036245s 
Time of Node:2020-10-29 16:17:18 ,Current time:2020-10-29 16:17:18,Infared temp: 76 Node temp: 89 Source: 9 Coordinate: (2,1) Alert: False , time : 0.038914s 
Time of Node:2020-10-29 16:17:18 ,Current time:2020-10-29 16:17:18,Infared temp: 70 Node temp: 86 Source: 11 Coordinate: (2,3) Alert: False , time : 0.039013s 
Time of Node:2020-10-29 16:17:18 ,Current time:2020-10-29 16:17:18,Infared temp: 72 Node temp: 90 Source: 12 Coordinate: (3,0) Alert: False , time : 0.042087s 
Time of Node:2020-10-29 16:17:18 ,Current time:2020-10-29 16:17:18,Infared temp: 90 Node temp: 81 Source: 13 Coordinate: (3,1) Alert: True , time : 0.046122s 
